,colorp,latitud,longitud,magnitud,profundidad,sizem,zfolder
0,#D10000,0.87787,-80.27231,7.5,10,13,"21192022202020_0.87787_80.27231_M7.5_10km
"
1,#D10000,0.87787,-80.27231,8.0,10,18,"21192022202020_0.87787_80.27231_M8.0_10km
"
2,#D10000,0.87787,-80.27231,8.5,10,23,"21192022202020_0.87787_80.27231_M8.5_10km
"
3,#D10000,0.87787,-80.27231,9.0,10,28,"21192022202020_0.87787_80.27231_M9_10km
"
4,#E6B900,0.9465,-79.88463,7.5,20,13,"21192022202020_0.94650_79.88463_M7.5_20km
"
5,#E6B900,0.9465,-79.88463,8.0,20,18,"21192022202020_0.94650_79.88463_M8.0_20km
"
6,#E6B900,0.9465,-79.88463,8.5,20,23,"21192022202020_0.94650_79.88463_M8.5_20km
"
7,#E6B900,0.9465,-79.88463,9.0,20,28,"21192022202020_0.94650_79.88463_M9_20km
"
8,#00C9B8,1.05448,-79.51777,7.5,30,13,"21192022202020_1.05448_79.51777_M7.5_30km
"
9,#00C9B8,1.05448,-79.51777,8.0,30,18,"21192022202020_1.05448_79.51777_M8.0_30km
"
10,#00C9B8,1.05448,-79.51777,8.5,30,23,"21192022202020_1.05448_79.51777_M8.5_30km
"
11,#00C9B8,1.05448,-79.51777,9.0,30,28,"21192022202020_1.05448_79.51777_M9_30km
"
12,#D10000,1.11464,-80.12531,7.5,10,13,"21192022202020_1.11464_80.12531_M7.5_10km
"
13,#D10000,1.11464,-80.12531,8.0,10,18,"21192022202020_1.11464_80.12531_M8.0_10km
"
14,#D10000,1.11464,-80.12531,8.5,10,23,"21192022202020_1.11464_80.12531_M8.5_10km
"
15,#D10000,1.11464,-80.12531,9.0,10,28,"21192022202020_1.11464_80.12531_M9_10km
"
16,#3C00C9,1.14034,-79.15611,7.5,40,13,"21192022202020_1.14034_79.15611_M7.5_40km
"
17,#3C00C9,1.14034,-79.15611,8.0,40,18,"21192022202020_1.14034_79.15611_M8.0_40km
"
18,#3C00C9,1.14034,-79.15611,8.5,40,23,"21192022202020_1.14034_79.15611_M8.5_40km
"
19,#3C00C9,1.14034,-79.15611,9.0,40,28,"21192022202020_1.14034_79.15611_M9_40km
"
20,#E6B900,1.21189,-79.73893,7.5,20,13,"21192022202020_1.21189_79.73893_M7.5_20km
"
21,#E6B900,1.21189,-79.73893,8.0,20,18,"21192022202020_1.21189_79.73893_M8.0_20km
"
22,#E6B900,1.21189,-79.73893,8.5,20,23,"21192022202020_1.21189_79.73893_M8.5_20km
"
23,#E6B900,1.21189,-79.73893,9.0,20,28,"21192022202020_1.21189_79.73893_M9_20km
"
24,#00C9B8,1.30426,-79.39288,7.5,30,13,"21192022202020_1.30426_79.39288_M7.5_30km
"
25,#00C9B8,1.30426,-79.39288,8.0,30,18,"21192022202020_1.30426_79.39288_M8.0_30km
"
26,#00C9B8,1.30426,-79.39288,8.5,30,23,"21192022202020_1.30426_79.39288_M8.5_30km
"
27,#00C9B8,1.30426,-79.39288,9.0,30,28,"21192022202020_1.30426_79.39288_M9_30km
"
28,#D10000,1.36442,-79.977,7.5,10,13,"21192022202020_1.36442_79.97700_M7.5_10km
"
29,#D10000,1.36442,-79.977,8.0,10,18,"21192022202020_1.36442_79.97700_M8.0_10km
"
30,#D10000,1.36442,-79.977,8.5,10,23,"21192022202020_1.36442_79.97700_M8.5_10km
"
31,#D10000,1.36442,-79.977,9.0,10,28,"21192022202020_1.36442_79.97700_M9_10km
"
32,#3C00C9,1.3706,-79.02602,7.5,40,13,"21192022202020_1.37060_79.02602_M7.5_40km
"
33,#3C00C9,1.3706,-79.02602,8.0,40,18,"21192022202020_1.37060_79.02602_M8.0_40km
"
34,#3C00C9,1.3706,-79.02602,8.5,40,23,"21192022202020_1.37060_79.02602_M8.5_40km
"
35,#3C00C9,1.3706,-79.02602,9.0,40,28,"21192022202020_1.37060_79.02602_M9_40km
"
36,#E6B900,1.43825,-79.60103,7.5,20,13,"21192022202020_1.43825_79.60103_M7.5_20km
"
37,#E6B900,1.43825,-79.60103,8.0,20,18,"21192022202020_1.43825_79.60103_M8.0_20km
"
38,#E6B900,1.43825,-79.60103,8.5,20,23,"21192022202020_1.43825_79.60103_M8.5_20km
"
39,#E6B900,1.43825,-79.60103,9.0,20,28,"21192022202020_1.43825_79.60103_M9_20km
"
40,#00C9B8,1.54103,-79.22896,7.5,30,13,"21192022202020_1.54103_79.22896_M7.5_30km
"
41,#00C9B8,1.54103,-79.22896,8.0,30,18,"21192022202020_1.54103_79.22896_M8.0_30km
"
42,#00C9B8,1.54103,-79.22896,8.5,30,23,"21192022202020_1.54103_79.22896_M8.5_30km
"
43,#00C9B8,1.54103,-79.22896,9.0,30,28,"21192022202020_1.54103_79.22896_M9_30km
"
44,#D10000,1.59079,-79.82219,7.5,10,13,"21192022202020_1.59079_79.82219_M7.5_10km
"
45,#D10000,1.59079,-79.82219,8.0,10,18,"21192022202020_1.59079_79.82219_M8.0_10km
"
46,#D10000,1.59079,-79.82219,8.5,10,23,"21192022202020_1.59079_79.82219_M8.5_10km
"
47,#D10000,1.59079,-79.82219,9.0,10,28,"21192022202020_1.59079_79.82219_M9_10km
"
48,#E6B900,1.67762,-79.45012,7.5,20,13,"21192022202020_1.67762_79.45012_M7.5_20km
"
49,#E6B900,1.67762,-79.45012,8.0,20,18,"21192022202020_1.67762_79.45012_M8.0_20km
"
50,#E6B900,1.67762,-79.45012,8.5,20,23,"21192022202020_1.67762_79.45012_M8.5_20km
"
51,#E6B900,1.67762,-79.45012,9.0,20,28,"21192022202020_1.67762_79.45012_M9_20km
"
52,#00C9B8,1.77519,-79.09366,7.5,30,13,"21192022202020_1.77519_79.09366_M7.5_30km
"
53,#00C9B8,1.77519,-79.09366,8.0,30,18,"21192022202020_1.77519_79.09366_M8.0_30km
"
54,#00C9B8,1.77519,-79.09366,8.5,30,23,"21192022202020_1.77519_79.09366_M8.5_30km
"
55,#00C9B8,1.77519,-79.09366,9.0,30,28,"21192022202020_1.77519_79.09366_M9_30km
"
56,#D10000,1.82235,-79.68169,7.5,10,13,"21192022202020_1.82235_79.68169_M7.5_10km
"
57,#D10000,1.82235,-79.68169,8.0,10,18,"21192022202020_1.82235_79.68169_M8.0_10km
"
58,#D10000,1.82235,-79.68169,8.5,10,23,"21192022202020_1.82235_79.68169_M8.5_10km
"
59,#D10000,1.82235,-79.68169,9.0,10,28,"21192022202020_1.82235_79.68169_M9_10km
"
60,#E6B900,1.91439,-79.30181,7.5,20,13,"21192022202020_1.91439_79.30181_M7.5_20km
"
61,#E6B900,1.91439,-79.30181,8.0,20,18,"21192022202020_1.91439_79.30181_M8.0_20km
"
62,#E6B900,1.91439,-79.30181,8.5,20,23,"21192022202020_1.91439_79.30181_M8.5_20km
"
63,#E6B900,1.91439,-79.30181,9.0,20,28,"21192022202020_1.91439_79.30181_M9_20km
"
64,#00C9B8,2.00156,-78.92454,7.5,30,13,"21192022202020_2.00156_78.92454_M7.5_30km
"
65,#00C9B8,2.00156,-78.92454,8.0,30,18,"21192022202020_2.00156_78.92454_M8.0_30km
"
66,#00C9B8,2.00156,-78.92454,8.5,30,23,"21192022202020_2.00156_78.92454_M8.5_30km
"
67,#00C9B8,2.00156,-78.92454,9.0,30,28,"21192022202020_2.00156_78.92454_M9_30km
"
68,#D10000,2.06433,-79.54769,7.5,10,13,"21192022202020_2.06433_79.54769_M7.5_10km
"
69,#D10000,2.06433,-79.54769,8.0,10,18,"21192022202020_2.06433_79.54769_M8.0_10km
"
70,#D10000,2.06433,-79.54769,8.5,10,23,"21192022202020_2.06433_79.54769_M8.5_10km
"
71,#D10000,2.06433,-79.54769,9.0,10,28,"21192022202020_2.06433_79.54769_M9_10km
"
72,#E6B900,2.15507,-79.1483,7.5,20,13,"21192022202020_2.15507_79.14830_M7.5_20km
"
73,#E6B900,2.15507,-79.1483,8.0,20,18,"21192022202020_2.15507_79.14830_M8.0_20km
"
74,#E6B900,2.15507,-79.1483,8.5,20,23,"21192022202020_2.15507_79.14830_M8.5_20km
"
75,#E6B900,2.15507,-79.1483,9.0,20,28,"21192022202020_2.15507_79.14830_M9_20km
"
